"Municipio" "Habitantes" "Provincia" "INE" "AMB" "lat" "lon"
"Gavet de la Conca" 261 "Lleida" "25098" "0" 42.12384 0.91928
"Gelida" 7533 "Barcelona" "08091" "0" 41.44309 1.86967
"Ger" 448 "Girona" "17078" "0" 42.41108 1.84468
"Gimenells i el Pla de la Font" 1111 "Lleida" "25912" "0" 41.65245 0.38993
"Ginestar" 753 "Tarragona" "43067" "0" 41.04198 0.63237
"Girona" 101852 "Girona" "17079" "0" 41.98081 2.81874
"Gironella" 4826 "Barcelona" "08092" "0" 42.03347 1.88022
"Gisclareny" 25 "Barcelona" "08093" "0" 42.25008 1.78667
"Godall" 575 "Tarragona" "43068" "0" 40.65399 0.4696
"Golmés" 1840 "Lleida" "25099" "0" 41.63018 0.9325
"Gombrèn" 188 "Girona" "17080" "0" 42.24825 2.09091
"Gósol" 206 "Lleida" "25100" "0" 42.23682 1.66036
"la Granada" 2157 "Barcelona" "08094" "0" 41.37272 1.72481
"la Granadella" 712 "Lleida" "25101" "0" 41.35331 0.66859
"Granera" 69 "Barcelona" "08095" "0" 41.72788 2.05926
"la Granja d'Escarp" 936 "Lleida" "25102" "0" 41.41973 0.35224
"Granollers" 61275 "Barcelona" "08096" "0" 41.60799 2.29061
"Granyanella" 148 "Lleida" "25103" "0" 41.64903 1.22309
"Granyena de les Garrigues" 132 "Lleida" "25105" "0" 41.43388 0.64995
"Granyena de Segarra" 142 "Lleida" "25104" "0" 41.62496 1.2458
"Gratallops" 229 "Tarragona" "43069" "0" 41.19234 0.77496
"Gualba" 1500 "Barcelona" "08097" "0" 41.73346 2.50008
"Gualta" 397 "Girona" "17081" "0" 42.0304 3.10341
"Guardiola de Berguedà" 908 "Barcelona" "08099" "0" 42.23251 1.8792
"els Guiamets" 270 "Tarragona" "43070" "0" 41.10184 0.75072
"Guils de Cerdanya" 537 "Girona" "17082" "0" 42.44851 1.87934
"Guimerà" 265 "Lleida" "25109" "0" 41.56365 1.18566
"la Guingueta d'Àneu" 297 "Lleida" "25903" "0" 42.59409 1.13187
"Guissona" 7136 "Lleida" "25110" "0" 41.78731 1.28874
"Guixers" 134 "Lleida" "25111" "0" 42.13239 1.66652
"Gurb" 2681 "Barcelona" "08100" "0" 41.94211 2.24174
"Horta de Sant Joan" 1149 "Tarragona" "43071" "0" 40.95443 0.3149
"l'Hospitalet de Llobregat" 264923 "Barcelona" "08101" "1" 41.36332 2.10513
"els Hostalets de Pierola" 2973 "Barcelona" "08162" "0" 41.53415 1.76577
"Hostalric" 4221 "Girona" "17083" "0" 41.7464 2.63189
"Igualada" 39967 "Barcelona" "08102" "0" 41.57957 1.61676
"Isona i Conca Dellà" 1019 "Lleida" "25115" "0" 42.11681 1.04463
"Isòvol" 281 "Girona" "17084" "0" 42.37845 1.81972
"Ivars d'Urgell" 1531 "Lleida" "25113" "0" 41.68183 0.9865
"Ivars de Noguera" 334 "Lleida" "25112" "0" 41.85043 0.58505
"Ivorra" 104 "Lleida" "25114" "0" 41.77235 1.3957
"Jafre" 380 "Girona" "17085" "0" 42.07202 3.01062
"la Jonquera" 3290 "Girona" "17086" "0" 42.41551 2.87199
"Jorba" 835 "Barcelona" "08103" "0" 41.60101 1.54678
"Josa i Tuixén" 106 "Lleida" "25910" "0" 42.23153 1.56795
"Juià" 323 "Girona" "17087" "0" 42.0171 2.90696
"Juncosa" 386 "Lleida" "25118" "0" 41.37143 0.77399
"Juneda" 3475 "Lleida" "25119" "0" 41.54908 0.82109
"Les" 946 "Lleida" "25121" "0" 42.81064 0.70989
"Linyola" 2700 "Lleida" "25122" "0" 41.71127 0.90338
"la Llacuna" 870 "Barcelona" "08104" "0" 41.47252 1.53374
"Lladó" 818 "Girona" "17088" "0" 42.24778 2.81371
"Lladorre" 230 "Lleida" "25123" "0" 42.62122 1.24889
"Lladurs" 176 "Lleida" "25124" "0" 42.04504 1.50828
"la Llagosta" 13480 "Barcelona" "08105" "0" 41.51523 2.19204
"Llagostera" 8453 "Girona" "17089" "0" 41.82994 2.89242
"Llambilles" 696 "Girona" "17090" "0" 41.91981 2.85714
"Llanars" 505 "Girona" "17091" "0" 42.32048 2.34396
"Llançà" 4836 "Girona" "17092" "0" 42.36483 3.14954
"Llardecans" 451 "Lleida" "25125" "0" 41.37458 0.54878
